"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.045277460E-1,-2.689500153E-1,9.615000725E0,2.059950113E0
4.057877460E-1,-2.880000174E-1,9.607050896E0,2.067000151E0
4.070477460E-1,-2.760000229E-1,9.634050369E0,2.040000200E0
4.083077460E-1,-3.240000010E-1,9.627000809E0,2.047950029E0
4.095679750E-1,-3.120000064E-1,9.640950203E0,2.005050182E0
4.108279620E-1,-2.899500132E-1,9.639000893E0,2.014050007E0
4.120879620E-1,-2.860500216E-1,9.603000641E0,2.050050020E0
4.133479620E-1,-2.659500241E-1,9.592950821E0,2.031000137E0
4.146079620E-1,-2.590500116E-1,9.616950035E0,2.074050188E0
4.158680370E-1,-2.419500053E-1,9.655050278E0,2.040000200E0
4.171280390E-1,-2.830500007E-1,9.588000298E0,2.042999983E0
4.183880390E-1,-3.120000064E-1,9.622050285E0,2.044950008E0
4.196480390E-1,-2.590500116E-1,9.628950119E0,2.035950184E0
4.209080250E-1,-2.760000229E-1,9.651000023E0,2.035950184E0
4.221680250E-1,-3.070500195E-1,9.580950737E0,2.059950113E0
4.234282530E-1,-2.400000095E-1,9.658050537E0,2.056950092E0
4.246882550E-1,-2.860500216E-1,9.664950371E0,2.055000067E0
4.259482550E-1,-2.860500216E-1,9.619050026E0,2.042999983E0
4.272082550E-1,-2.740500271E-1,9.615000725E0,2.076000214E0
4.284682550E-1,-2.449500114E-1,9.655050278E0,2.086050034E0
4.297283300E-1,-2.760000229E-1,9.660000801E0,2.020950079E0
4.309883320E-1,-2.929500043E-1,9.636000633E0,2.023950100E0
4.322483320E-1,-3.000000119E-1,9.627000809E0,2.032950163E0
4.335083320E-1,-2.899500132E-1,9.627000809E0,2.014050007E0
4.347683320E-1,-2.689500153E-1,9.676950455E0,2.076000214E0
4.360283320E-1,-2.980500162E-1,9.672000885E0,2.059950113E0
4.372885610E-1,-2.779500186E-1,9.636000633E0,2.056950092E0
4.385485630E-1,-2.710500062E-1,9.612000465E0,2.014050007E0
4.398085630E-1,-2.860500216E-1,9.639000893E0,2.031000137E0
4.410685580E-1,-2.779500186E-1,9.619050026E0,2.074050188E0
4.423285580E-1,-2.880000174E-1,9.610050201E0,2.055000067E0
